Date/Time,NO3-Neq [mg/l]87.50-0.00_1,Date/Time,NO3-Neq [mg/l]87.50-0.00_1,Date/Time,NO3-Neq [mg/l]87.50-0.00_1,Date/Time,NO3-Neq [mg/l]87.50-0.00_1,Source
2015.06.30  13:24:40,15.156,2015.06.30  16:38:40,8.496,2015.07.06  10:56:40,4.755,2015.07.06  14:20:00,2.433,High
2015.06.30  13:27:00,0.948,2015.06.30  16:41:00,0.81,2015.07.06  10:59:00,0.809,2015.07.06  14:22:20,0.826,Low
2015.06.30  13:29:20,15.117,2015.06.30  16:43:20,8.497,2015.07.06  11:01:20,4.765,2015.07.06  14:24:40,2.505,High
2015.06.30  13:31:40,1.002,2015.06.30  16:45:40,0.817,2015.07.06  11:03:40,0.848,2015.07.06  14:27:00,0.797,Low
2015.06.30  13:34:00,15.121,2015.06.30  16:48:00,8.49,2015.07.06  11:06:00,4.746,2015.07.06  14:29:20,2.508,High
2015.06.30  13:36:20,1.001,2015.06.30  16:50:20,0.838,2015.07.06  11:08:20,0.803,2015.07.06  14:31:40,0.797,Low
2015.06.30  13:38:40,15.148,2015.06.30  16:52:40,8.493,2015.07.06  11:10:40,4.767,2015.07.06  14:34:00,2.507,High
2015.06.30  13:41:00,1.034,2015.06.30  16:55:00,0.819,2015.07.06  11:13:00,0.837,2015.07.06  14:36:20,0.833,Low
2015.06.30  13:43:20,15.08,2015.06.30  16:57:20,8.501,2015.07.06  11:15:20,4.766,2015.07.06  14:38:40,2.504,High
2015.06.30  13:45:40,0.977,2015.06.30  16:59:40,0.849,2015.07.06  11:17:40,0.822,2015.07.06  14:41:00,0.773,Low
2015.06.30  13:48:00,15.086,2015.06.30  17:02:00,8.515,2015.07.06  11:20:00,4.714,2015.07.06  14:43:20,2.458,High
2015.06.30  13:50:20,1.041,2015.06.30  17:04:20,0.859,2015.07.06  11:22:20,0.854,2015.07.06  14:45:40,0.788,Low
2015.06.30  13:52:40,15.073,2015.06.30  17:06:40,8.467,2015.07.06  11:24:40,4.726,2015.07.06  14:48:00,2.483,High
2015.06.30  13:55:00,1.045,2015.06.30  17:09:00,0.872,2015.07.06  11:27:00,0.873,2015.07.06  14:50:20,0.826,Low
2015.06.30  13:57:20,15.09,2015.06.30  17:11:20,8.462,2015.07.06  11:29:20,4.745,2015.07.06  14:52:40,2.44,High
2015.06.30  13:59:40,1.06,2015.06.30  17:13:40,0.855,2015.07.06  11:31:40,0.87,2015.07.06  14:55:00,0.803,Low
2015.06.30  14:02:00,15.042,2015.06.30  17:16:00,8.47,2015.07.06  11:34:00,4.722,2015.07.06  14:57:20,2.466,High
2015.06.30  14:04:20,1.07,2015.06.30  17:18:20,0.876,2015.07.06  11:36:20,0.888,2015.07.06  14:59:40,0.824,Low
2015.06.30  14:06:40,15.036,2015.06.30  17:20:40,8.459,2015.07.06  11:38:40,4.728,2015.07.06  15:02:00,2.481,High
2015.06.30  14:09:00,1.11,2015.06.30  17:23:00,0.848,2015.07.06  11:41:00,0.821,2015.07.06  15:04:20,0.779,Low
2015.06.30  14:11:20,15.053,2015.06.30  17:25:20,8.51,2015.07.06  11:43:20,4.725,2015.07.06  15:06:40,2.498,High
2015.06.30  14:13:40,1.061,2015.06.30  17:27:40,0.887,2015.07.06  11:45:40,0.871,2015.07.06  15:09:00,0.809,Low
2015.06.30  14:16:00,15.008,2015.06.30  17:30:00,8.438,2015.07.06  11:48:00,4.707,2015.07.06  15:11:20,2.467,High
2015.06.30  14:18:20,1.117,2015.06.30  17:32:20,0.869,2015.07.06  11:50:20,0.891,2015.07.06  15:13:40,0.846,Low
2015.06.30  14:20:40,14.96,2015.06.30  17:34:40,8.409,2015.07.06  11:52:40,4.72,2015.07.06  15:16:00,2.473,High
2015.06.30  14:23:00,1.127,2015.06.30  17:37:00,0.891,2015.07.06  11:55:00,0.888,2015.07.06  15:18:20,0.859,Low
2015.06.30  14:25:20,15.019,2015.06.30  17:39:20,8.438,2015.07.06  11:57:20,4.705,2015.07.06  15:20:40,2.483,High
2015.06.30  14:27:40,1.138,2015.06.30  17:41:40,0.916,2015.07.06  11:59:40,0.889,2015.07.06  15:23:00,0.779,Low
2015.06.30  14:30:00,14.958,2015.06.30  17:44:00,8.391,2015.07.06  12:02:00,4.737,2015.07.06  15:25:20,2.493,High
2015.06.30  14:32:20,1.138,2015.06.30  17:46:20,0.907,2015.07.06  12:04:20,0.86,2015.07.06  15:27:40,0.804,Low
2015.06.30  14:34:40,15.027,2015.06.30  17:48:40,8.413,2015.07.06  12:06:40,4.734,2015.07.06  15:30:00,2.52,High
2015.06.30  14:37:00,1.184,2015.06.30  17:51:00,0.907,2015.07.06  12:09:00,0.876,2015.07.06  15:32:20,0.811,Low
2015.06.30  14:39:20,14.962,2015.06.30  17:53:20,8.425,2015.07.06  12:11:20,4.745,2015.07.06  15:34:40,2.459,High
,,2015.06.30  17:55:40,0.887,2015.07.06  12:13:40,0.918,2015.07.06  15:37:00,0.815,Low
,,2015.06.30  17:58:00,8.436,2015.07.06  12:16:00,4.704,2015.07.06  15:39:20,2.44,High
,,2015.06.30  18:00:20,0.943,2015.07.06  12:18:20,0.861,2015.07.06  15:41:40,0.822,Low
,,2015.06.30  18:02:40,8.408,2015.07.06  12:20:40,4.697,2015.07.06  15:44:00,2.411,High
,,2015.06.30  18:05:00,0.929,,,2015.07.06  15:46:20,0.837,Low
,,2015.06.30  18:07:20,8.389,,,2015.07.06  15:48:40,2.461,High
,,2015.06.30  18:09:40,0.918,,,2015.07.06  15:51:00,0.836,Low
,,2015.06.30  18:12:00,8.393,,,2015.07.06  15:53:20,2.513,High
,,2015.06.30  18:14:20,0.932,,,2015.07.06  15:55:40,0.855,Low
,,,,,,2015.07.06  15:58:00,2.434,High
,,,,,,2015.07.06  16:00:20,0.812,Low
,,,,,,2015.07.06  16:02:40,2.463,High
,,,,,,2015.07.06  16:05:00,0.816,Low
,,,,,,2015.07.06  16:07:20,2.485,High
,,,,,,2015.07.06  16:09:40,0.818,Low
,,,,,,2015.07.06  16:12:00,2.536,High
,,,,,,2015.07.06  16:14:20,0.827,Low
,,,,,,2015.07.06  16:16:40,2.449,High
,,,,,,2015.07.06  16:19:00,0.852,Low
,,,,,,2015.07.06  16:21:20,2.418,High
,,,,,,2015.07.06  16:23:40,0.811,Low
