,Date.Time,Mesocosm,NO3,Run,Depth
213,3/19/15 6:45,9,1.478392156,1,13.6
214,3/19/15 6:51,8,3.287360039,1,45
216,3/19/15 7:03,12,3.389749516,1,16.6
217,3/19/15 7:09,11,4.001066921,1,34.2
218,3/19/15 7:15,10,3.036611748,1,30.4
219,3/19/15 7:21,9,1.43131902,1,13.6
220,3/19/15 7:27,8,3.293978206,1,45
222,3/19/15 7:39,12,3.382344244,1,16.6
223,3/19/15 7:45,11,4.012294932,1,34.2
224,3/19/15 7:51,10,3.0248012,1,30.4
225,3/19/15 7:57,9,1.404195619,1,13.6
226,3/19/15 8:03,8,3.282124417,1,45
228,3/19/15 8:15,12,3.340646094,1,16.6
229,3/19/15 8:21,11,3.996757655,1,34.2
230,3/19/15 8:27,10,3.02707957,1,30.4
231,3/19/15 8:33,9,1.395709172,1,13.6
232,3/19/15 8:39,8,3.296806146,1,45
234,3/19/15 8:51,12,3.288830704,1,16.6
235,3/19/15 8:57,11,3.986049039,1,34.2
236,3/19/15 9:03,10,3.012891536,1,30.4
237,3/19/15 9:09,9,1.355202706,1,13.6
238,3/19/15 9:15,8,3.301707104,1,45
240,3/19/15 9:27,12,3.274461407,1,16.6
241,3/19/15 9:33,11,3.980009182,1,34.2
242,3/19/15 9:39,10,3.025287579,1,30.4
243,3/19/15 9:45,9,1.338110492,1,13.6
244,3/19/15 9:51,8,3.304995214,1,45
246,3/19/15 10:03,12,3.223846412,1,16.6
247,3/19/15 10:09,11,3.997309122,1,34.2
248,3/19/15 10:15,10,3.023123244,1,30.4
249,3/19/15 10:21,9,1.313246355,1,13.6
250,3/19/15 10:27,8,3.31244425,1,45
252,3/19/15 10:39,12,3.193183548,1,16.6
253,3/19/15 10:45,11,3.974583531,1,34.2
254,3/19/15 10:51,10,3.022533321,1,30.4
255,3/19/15 10:57,9,1.279810098,1,13.6
256,3/19/15 11:03,8,3.325943171,1,45
258,3/19/15 11:15,12,3.164074046,1,16.6
259,3/19/15 11:21,11,4.001217842,1,34.2
260,3/19/15 11:27,10,3.033830375,1,30.4
261,3/19/15 11:33,9,1.277142745,1,13.6
262,3/19/15 11:39,8,3.331858547,1,45
264,3/19/15 11:53,12,3.104373256,1,16.6
265,3/19/15 11:59,11,3.997223547,1,34.2
266,3/19/15 12:05,10,3.012215111,1,30.4
