,Date.Time,Mesocosm,NO3,Date.Time.1,Mesocosm.1,TN,Date.Time.2,Mesocosm.2,DOC,Run,Depth
71,3/16/15 16:56,8,2.713964424,3/16/2015 16:56,8,5.236027106,3/16/2015 16:56,8,5.20665063,1,19
73,3/16/15 17:08,12,3.951762355,3/16/2015 17:08,12,6.64820324,3/16/2015 17:08,12,4.812681652,1,21.3
74,3/16/15 17:14,11,3.773447832,3/16/2015 17:14,11,6.363800456,3/16/2015 17:14,11,4.914421615,1,25.5
75,3/16/15 17:20,10,2.739465512,3/16/2015 17:20,10,5.065663484,3/16/2015 17:20,10,5.083835864,1,21.2
76,3/16/15 17:26,9,2.773692341,3/16/2015 17:26,9,5.110624637,3/16/2015 17:26,9,4.996863783,1,17.7
77,3/16/15 17:32,8,2.700764533,3/16/2015 17:32,8,5.231750661,3/16/2015 17:32,8,5.216712412,1,19
79,3/16/15 17:44,12,3.956902558,3/16/2015 17:44,12,6.58912765,3/16/2015 17:44,12,4.914338858,1,21.3
80,3/16/15 17:50,11,3.76839733,3/16/2015 17:50,11,6.297947154,3/16/2015 17:50,11,4.989674704,1,25.5
81,3/16/15 17:56,10,2.761055894,3/16/2015 17:56,10,5.062900077,3/16/2015 17:56,10,5.052459637,1,21.2
82,3/16/15 18:02,9,2.771300923,3/16/2015 18:02,9,4.999823288,3/16/2015 18:02,9,5.154031623,1,17.7
83,3/16/15 18:08,8,2.755075779,3/16/2015 18:08,8,5.201787878,3/16/2015 18:08,8,5.232797648,1,19
85,3/16/15 18:20,12,3.98963326,3/16/2015 18:20,12,6.555339703,3/16/2015 18:20,12,4.990062343,1,21.3
86,3/16/15 18:26,11,3.7907491,3/16/2015 18:26,11,6.225532258,3/16/2015 18:26,11,5.102838077,1,25.5
87,3/16/15 18:32,10,2.753017303,3/16/2015 18:32,10,4.963153467,3/16/2015 18:32,10,5.182454864,1,21.2
88,3/16/15 18:38,9,2.787196276,3/16/2015 18:38,9,4.940941761,3/16/2015 18:38,9,5.223935238,1,17.7
89,3/16/15 18:44,8,2.758755638,3/16/2015 18:44,8,5.130623587,3/16/2015 18:44,8,5.386529678,1,19
91,3/16/15 18:56,12,3.971708303,3/16/2015 18:56,12,6.516684602,3/16/2015 18:56,12,5.091199861,1,21.3
92,3/16/15 19:02,11,3.797096699,3/16/2015 19:02,11,6.165907829,3/16/2015 19:02,11,5.204714495,1,25.5
93,3/16/15 19:08,10,2.759033143,3/16/2015 19:08,10,4.907851005,3/16/2015 19:08,10,5.261084333,1,21.2
94,3/16/15 19:14,9,2.776834144,3/16/2015 19:14,9,4.917672964,3/16/2015 19:14,9,5.253342095,1,17.7
95,3/16/15 19:20,8,2.759989437,3/16/2015 19:20,8,5.084093795,3/16/2015 19:20,8,5.462151226,1,19
97,3/16/15 19:32,12,3.995183372,3/16/2015 19:32,12,6.456112579,3/16/2015 19:32,12,5.132474732,1,21.3
98,3/16/15 19:38,11,3.795948182,3/16/2015 19:38,11,6.154339807,3/16/2015 19:38,11,5.174133551,1,25.5
99,3/16/15 19:44,10,2.742547162,3/16/2015 19:44,10,4.874241276,3/16/2015 19:44,10,5.253905151,1,21.2
100,3/16/15 19:50,9,2.787671124,3/16/2015 19:50,9,4.844514624,3/16/2015 19:50,9,5.344637192,1,17.7
101,3/16/15 19:56,8,2.754467502,3/16/2015 19:56,8,5.035041887,3/16/2015 19:56,8,5.535356672,1,19
103,3/16/15 20:08,12,3.957824197,3/16/2015 20:08,12,6.422898546,3/16/2015 20:08,12,5.144732487,1,21.3
104,3/16/15 20:14,11,3.792733676,3/16/2015 20:14,11,6.124860124,3/16/2015 20:14,11,5.214997813,1,25.5
105,3/16/15 20:20,10,2.73730424,3/16/2015 20:20,10,4.827245317,3/16/2015 20:20,10,5.316481358,1,21.2
106,3/16/15 20:26,9,2.765925025,3/16/2015 20:26,9,4.861582787,3/16/2015 20:26,9,5.297201173,1,17.7
107,3/16/15 20:32,8,2.759355852,3/16/2015 20:32,8,5.058860861,3/16/2015 20:32,8,5.496219589,1,19
109,3/16/15 20:44,12,3.991047875,3/16/2015 20:44,12,6.436166261,3/16/2015 20:44,12,5.134031583,1,21.3
110,3/16/15 20:50,11,3.777337371,3/16/2015 20:50,11,6.112604421,3/16/2015 20:50,11,5.183705765,1,25.5
111,3/16/15 20:56,10,2.72138285,3/16/2015 20:56,10,4.819543095,3/16/2015 20:56,10,5.286137546,1,21.2
112,3/16/15 21:02,9,2.759478242,3/16/2015 21:02,9,4.860004058,3/16/2015 21:02,9,5.282569039,1,17.7
113,3/16/15 21:08,8,2.746110902,3/16/2015 21:08,8,5.04592049,3/16/2015 21:08,8,5.509165007,1,19
115,3/16/15 21:20,12,3.962602723,3/16/2015 21:20,12,6.407994349,3/16/2015 21:20,12,5.132361952,1,21.3
116,3/16/15 21:26,11,3.780307862,3/16/2015 21:26,11,6.081952555,3/16/2015 21:26,11,5.188868843,1,25.5
117,3/16/15 21:32,10,2.700553163,3/16/2015 21:32,10,4.780077286,3/16/2015 21:32,10,5.303816434,1,21.2
