,Date.Time,Mesocosm,NO3,Date.Time.1,Mesocosm.1,TN,Date.Time.2,Mesocosm.2,DOC,Run,Depth
13,11/13/14 11:24,12,3.928523849,11/13/2014 11:24,12,4.533024635,11/13/2014 11:24,12,3.36340566,1,28.4
14,11/13/14 11:30,11,3.606483939,11/13/2014 11:30,11,4.165380714,11/13/2014 11:30,11,3.993088111,1,30.8
15,11/13/14 11:36,10,3.464844365,11/13/2014 11:36,10,3.977735551,11/13/2014 11:36,10,3.610570058,1,36.1
16,11/13/14 11:42,9,3.970539144,11/13/2014 11:42,9,4.600910077,11/13/2014 11:42,9,3.292231434,1,34.2
17,11/13/14 11:48,8,3.915394979,11/13/2014 11:48,8,4.515161627,11/13/2014 11:48,8,2.46667047,1,32
19,11/13/14 11:57,12,3.81664149,11/13/2014 11:57,12,4.421802419,11/13/2014 11:57,12,3.135021799,1,28.4
20,11/13/14 12:03,11,3.590025855,11/13/2014 12:03,11,4.167530517,11/13/2014 12:03,11,3.631756158,1,30.8
21,11/13/14 12:09,10,3.433349634,11/13/2014 12:09,10,3.987420567,11/13/2014 12:09,10,3.520515002,1,36.1
22,11/13/14 12:15,9,3.925944592,11/13/2014 12:15,9,4.547058327,11/13/2014 12:15,9,3.059455833,1,34.2
23,11/13/14 12:21,8,3.89638304,11/13/2014 12:21,8,4.496314833,11/13/2014 12:21,8,2.899283598,1,32
25,11/13/14 12:33,12,3.856352322,11/13/2014 12:33,12,4.426878281,11/13/2014 12:33,12,2.10464704,1,28.4
26,11/13/14 12:39,11,3.624979655,11/13/2014 12:39,11,4.193456896,11/13/2014 12:39,11,2.763049045,1,30.8
27,11/13/14 12:45,10,3.426591643,11/13/2014 12:45,10,3.956265982,11/13/2014 12:45,10,3.221705856,1,36.1
28,11/13/14 12:51,9,3.919792713,11/13/2014 12:51,9,4.503850563,11/13/2014 12:51,9,2.958646794,1,34.2
29,11/13/14 12:57,8,3.904586211,11/13/2014 12:57,8,4.510075988,11/13/2014 12:57,8,2.260674841,1,32
